"word","definition"
"resinaceous","Having the quality of resin; resinous."
"circulable","That may be circulated."
"adactyl","Alt. of Adactylous"
"prenotion","A notice or notion which precedes something else in time; previous notion or thought; foreknowledge."
"separability","Quality of being separable or divisible; divisibility; separableness."
"surplusage","A greater disbursement than the charge of the accountant amounts to."
"comprehend","To contain; to embrace; to include; as, the states comprehended in the Austrian Empire."""
"outmantle","To excel in mantling; hence, to excel in splendor, as of dress."""
"insularity","Narrowness or illiberality of opinion; prejudice; exclusiveness; as, the insularity of the Chinese or of the aristocracy."""
"pinchingly","In a pinching way."
"harpooned","of Harpoon"
"putrilage","That which is undergoing putrefaction; the products of putrefaction."
"bruteness","Insensibility."
"ratchel","Gravelly stone."
"waught","A large draught of any liquid."
"extinguishing","of Extinguish"
"moistness","The quality or state of being moist."
"cephalic","A medicine for headache, or other disorder in the head."""
"canaster","A kind of tobacco for smoking, made of the dried leaves, coarsely broken; -- so called from the rush baskets in which it is packed in South America."""
"resolution","The act or process of solving; solution; as, the resolution of an equation or problem."""
"hand","To manage; as, I hand my oar."""
"pile","To drive piles into; to fill with piles; to strengthen with piles."
"swamp","Wet, spongy land; soft, low ground saturated with water, but not usually covered with it; marshy ground away from the seashore."""
"cestoidea","A class of parasitic worms (Platelminthes) of which the tapeworms are the most common examples. The body is flattened, and usually but not always long, and composed of numerous joints or segments, each of which may contain a complete set of male and female reproductive organs. They have neither mouth nor intestine. See Tapeworm."""
"abroad","Without a certain confine; outside the house; away from one's abode; as, to walk abroad."""
"jump","To pass by a spring or leap; to overleap; as, to jump a stream."""
"capitate","Having the flowers gathered into a head."
"inlet","A passage by which an inclosed place may be entered; a place of ingress; entrance."
"physical","Of or pertaining to physics, or natural philosophy; treating of, or relating to, the causes and connections of natural phenomena; as, physical science; physical laws."""
"rattlebox","Any species of Crotalaria, a genus of yellow-flowered herbs, with inflated, many-seeded pods."""
"morrimal","See Mormal."
"bene","Alt. of Ben"
"half-hourly","Done or happening at intervals of half an hour."
"resurgent","One who rises again, as from the dead."""
"grauwacke","Graywacke."
"longhorn","A long-horned animal, as a cow, goat, or beetle. See Long-horned."""
"ruth","That which causes pity or compassion; misery; distress; a pitiful sight."
"ware","A ware; taking notice; hence, wary; cautious; on one's guard. See Beware."""
"geranine","A liquid terpene, obtained from the crane's-bill (Geranium maculatum), and having a peculiar mulberry odor."""
"blackening","of Blacken"
"ran","Yarns coiled on a spun-yarn winch."
"corb","An ornament in a building; a corbel."
"cogitabund","Full of thought; thoughtful."
"antediluvian","Of or relating to the period before the Deluge in Noah's time; hence, antiquated; as, an antediluvian vehicle."""
"swapped","of Swap"
"sophistic","Alt. of Sophistical"
"zarthe","A European bream (Abramis vimba)."
"countercurrent","Running in an opposite direction."
"chimaera","A cartilaginous fish of several species, belonging to the order Holocephali. The teeth are few and large. The head is furnished with appendages, and the tail terminates in a point."""
"trundle","A lind of low-wheeled cart; a truck."
"lower-case","Pertaining to, or kept in, the lower case; -- used to denote the small letters, in distinction from capitals and small capitals. See the Note under 1st Case, n., 3."""
"valeryl","The hypothetical radical C5H9O, regarded as the essential nucleus of certain valeric acid derivatives."""
"pipy","Like a pipe; hollow-stemmed."
"moderato","With a moderate degree of quickness; moderately."
"alphonsine","Of or relating to Alphonso X., the Wise, King of Castile (1252-1284)."""
"magniloquent","Speaking pompously; using swelling discourse; bombastic; tumid in style; grandiloquent."
"self-considering","Considering in one's own mind; deliberating."
"gaitre","Alt. of Gaytre"
"wrong","Deviation or departure from truth or fact; state of falsity; error; as, to be in the wrong."""
"aspect","Look, or particular appearance of the face; countenance; mien; air."""
"conyrine","A blue, fluorescent, oily base (regarded as a derivative of pyridine), obtained from conine."""
"petechial","Characterized by, or pertaining to, petechiae; spotted."""
"haft","A dwelling."
"esthesiometer","Same as Aesthesiometer."
"forefoot","A piece of timber which terminates the keel at the fore end, connecting it with the lower end of the stem."""
"laddie","A lad; a male sweetheart."
"tambour","A work usually in the form of a redan, to inclose a space before a door or staircase, or at the gorge of a larger work. It is arranged like a stockade."""
"bacchanal","Engaged in drunken revels; drunken and riotous or noisy."
"likable","Such as can be liked; such as to attract liking; as, a likable person."""
"stranger","One whose home is at a distance from the place where he is, but in the same country."""
"verecundity","The quality or state of being verecund; modesty."
"phthisiology","A treatise on phthisis."
"malicious","Proceeding from hatred or ill will; dictated by malice; as, a malicious report; malicious mischief."""
"pooh","Pshaw! pish! nonsense! -- an expression of scorn, dislike, or contempt."""
"unedge","To deprive of the edge; to blunt."
"form","To derive by grammatical rules, as by adding the proper suffixes and affixes."""
"consociate","To be allied, confederated, or associated; to coalescence."""
"windowed","of Window"
"breastband","A band for the breast. Specifically: (Naut.) A band of canvas, or a rope, fastened at both ends to the rigging, to support the man who heaves the lead in sounding."""
"done","of Do"
"mekhitarist","See Mechitarist."
"assessment","The act of assessing; the act of determining an amount to be paid; as, an assessment of damages, or of taxes; an assessment of the members of a club."""
"entomology","That part of zoology which treats of insects."
"fistularia","A genus of fishes, having the head prolonged into a tube, with the mouth at the extremity."""
"sure","Fit or worthy to be depended on; certain not to fail or disappoint expectation; unfailing; strong; permanent; enduring."
"heugh","A crag; a cliff; a glen with overhanging sides."
"philological","Alt. of Philologic"
"spoke","of Speak"
"wake","To be excited or roused from sleep; to awake; to be awakened; to cease to sleep; -- often with up."
"chromolithographic","Pertaining to, or made by, chromolithography."""
"trepanning","of Trepan"
"philomathic","Of or pertaining to philomathy."
"concussation","A violent shock or agitation."
"sluggish","Having no power to move one's self or itself; inert."
"stick","To impose upon; to compel to pay; sometimes, to cheat."""
"grout","Coarse meal; ground malt; pl. groats."
"board","The side of a ship."
"battledoor","A child's hornbook."
"keels","Ninepins. See Kayles."
"orientation","The tendency of a revolving body, when suspended in a certain way, to bring the axis of rotation into parallelism with the earth's axis."""
"virtue","Specifically, moral excellence; integrity of character; purity of soul; performance of duty."""
"degeneration","The thing degenerated."
"nautiluses","of Nautilus"
"pretibial","Situated in front of the tibia."
"cahincic","Pertaining to, or derived from, cahinca, the native name of a species of Brazilian Chiococca, perhaps C. racemosa; as, cahincic acid."""
"paracentesis","The perforation of a cavity of the body with a trocar, aspirator, or other suitable instrument, for the evacuation of effused fluid, pus, or gas; tapping."""
"griper","One who gripes; an oppressor; an extortioner."
"colugo","A peculiar East Indian mammal (Galleopithecus volans), having along the sides, connecting the fore and hind limbs, a parachutelike membrane, by means of which it is able to make long leaps, like the flying squirrel; -- called also flying lemur."""
"swordtail","Any hemipterous insect of the genus Uroxiphus, found upon forest trees."""
"cultrated","Sharp-edged and pointed; shaped like a pruning knife, as the beak of certain birds."""
"ingenie","See Ingeny."
"blasphemer","One who blasphemes."
"deploying","of Deploy"
"elliptically","With a part omitted; as, elliptically expressed."""
"friendly","Not hostile; as, a friendly power or state."""
"ray","Any one of numerous elasmobranch fishes of the order Raiae, including the skates, torpedoes, sawfishes, etc."""
"haulse","See Halse."
"cadetship","The position, rank, or commission of a cadet; as, to get a cadetship."""
"constringed","of Constringe"
"calkin","A calk on a shoe. See Calk, n., 1."""
"pomely","Dappled."
"secretariat","Alt. of Secretariate"
"aberrancy","State of being aberrant; a wandering from the right way; deviation from truth, rectitude, etc."""
"pacos","An earthy-looking ore, consisting of brown oxide of iron with minute particles of native silver."""
"curtal","A horse with a docked tail; hence, anything cut short."""
"toreumatography","A description of sculpture such as bas-relief in metal."
"diminution","The act of lessening dignity or consideration, or the state of being deprived of dignity; a lowering in estimation; degradation; abasement."""
"disclusion","A shutting off; exclusion."
"earreach","Earshot."
"ichthyosaur","One of the Ichthyosaura."
"plead","To allege or adduce in proof, support, or vendication; to offer in excuse; as, the law of nations may be pleaded in favor of the rights of ambassadors."""
"overpicture","To surpass nature in the picture or representation of."
"orbit","The cavity or socket of the skull in which the eye and its appendages are situated."
"bound","Resolved; as, I am bound to do it."""
"carmagnole","A bombastic report from the French armies."
"vicious","Not well tamed or broken; given to bad tricks; unruly; refractory; as, a vicious horse."""
"stylaster","Any one of numerous species of delicate, usually pink, calcareous hydroid corals of the genus Stylaster."""
"shove","To drive along by the direct and continuous application of strength; to push; especially, to push (a body) so as to make it move along the surface of another body; as, to shove a boat on the water; to shove a table across the floor."""
"perigynia","of Perigynium"
"intermitted","of Intermit"
"golore","See Galore."
"furoin","A colorless, crystalline substance, C10H8O4, from furfurol."""
"consciousness","The state of being conscious; knowledge of one's own existence, condition, sensations, mental operations, acts, etc."""
"conceitedly","Fancifully; whimsically."
"picket","To fortify with pointed stakes."
"paronymous","Having a similar sound, but different orthography and different meaning; -- said of certain words, as al/ and awl; hair and hare, etc."""
"insnarer","One who insnares."
"metamorphose","To change into a different form; to transform; to transmute."
"distance","Space between two antagonists in fencing."
"rainbow","A bow or arch exhibiting, in concentric bands, the several colors of the spectrum, and formed in the part of the hemisphere opposite to the sun by the refraction and reflection of the sun's rays in drops of falling rain."""
"lopseed","A perennial herb (Phryma Leptostachya), having slender seedlike fruits."""
"hourglass","An instrument for measuring time, especially the interval of an hour. It consists of a glass vessel having two compartments, from the uppermost of which a quantity of sand, water, or mercury occupies an hour in running through a small aperture unto the lower."""
"overfloat","To overflow."
"-ries","of Reformatory"
"district","Rigorous; stringent; harsh."
"abject","A person in the lowest and most despicable condition; a castaway."
"disbench","To drive from a bench or seat."
"glided","of Glide"
"fall","To descend in character or reputation; to become degraded; to sink into vice, error, or sin; to depart from the faith; to apostatize; to sin."""
"appall","To make pale; to blanch."
"curculionidous","Pertaining to the Curculionideae, or weevil tribe."""
"burstwort","A plant (Herniaria glabra) supposed to be valuable for the cure of hernia or rupture."
"drainer","One who, or that which, drains."""
"doolies","of Dooly"
"perturb","To disorder; to confuse."
"ford","A stream; a current."
"clamorous","Speaking and repeating loud words; full of clamor; calling or demanding loudly or urgently; vociferous; noisy; bawling; loud; turbulent."
"prick","To render acid or pungent."
"macho","The striped mullet of California (Mugil cephalus, / Mexicanus)."""
"manifold","Various in kind or quality; many in number; numerous; multiplied; complicated."
"peninsula","A portion of land nearly surrounded by water, and connected with a larger body by a neck, or isthmus."""
"tendencies","of Tendency"
"embassy","The person or persons sent as ambassadors or envoys; the ambassador and his suite; envoys."
"fere","Fire."
"contraction","Something contracted or abbreviated, as a word or phrase; -- as, plenipo for plenipotentiary; crim. con. for criminal conversation, etc."""
"blackmailing","of Blackmail"
"paradigm","An example; a model; a pattern."
"coerulignone","A bluish violet, crystalline substance obtained in the purification of crude wood vinegar. It is regarded as a complex quinone derivative of diphenyl; -- called also cedriret."""
"mulada","A drove of mules."
"searchless","Impossible to be searched; inscrutable; impenetrable."
"circumciser","One who performs circumcision."
"magnificat","The song of the Virgin Mary, Luke i. 46; -- so called because it commences with this word in the Vulgate."""
"cloakedly","In a concealed manner."
"wide","Having a great extent every way; extended; spacious; broad; vast; extensive; as, a wide plain; the wide ocean; a wide difference."""
"subscribe","To yield; to admit one's self to be inferior or in the wrong."
"horse","To place on the back of another, or on a wooden horse, etc., to be flogged; to subject to such punishment."""
"affused","of Affuse"
"internal","Intrinsic; inherent; real."
"barometrical","Pertaining to the barometer; made or indicated by a barometer; as, barometric changes; barometrical observations."""
"justly","In a just manner; in conformity to law, justice, or propriety; by right; honestly; fairly; accurately."""
"inhibited","of Inhibit"
"fang","A niche in the side of an adit or shaft, for an air course."""
"orthogonally","Perpendicularly; at right angles; as, a curve cuts a set of curves orthogonally."""
"install","To place in an office, rank, or order; to invest with any charge by the usual ceremonies; to instate; to induct; as, to install an ordained minister as pastor of a church; to install a college president."""
"umbellifer","A plant producing an umbel or umbels."
"gauge","Measure; dimensions; estimate."
"ostentive","Ostentatious."
"avertible","Capable of being averted; preventable."
"advise","To consider; to deliberate."
"strength","Vigor or style; force of expression; nervous diction; -- said of literary work."
"touch-box","A box containing lighted tinder, formerly carried by soldiers who used matchlocks, to kindle the match."""
"prescription","The act of prescribing, directing, or dictating; direction; precept; also, that which is prescribed."""
"heartily","From the heart; with all the heart; with sincerity."
"thunderbird","An Australian insectivorous singing bird (Pachycephala gutturalis). The male is conspicuously marked with black and yellow, and has a black crescent on the breast. Called also white-throated thickhead, orange-breasted thrust, black-crowned thrush, guttural thrush, and black-breasted flycatcher."""
"genius","A man endowed with uncommon vigor of mind; a man of superior intellectual faculties; as, Shakespeare was a rare genius."""
"toll","To sound or ring, as a bell, with strokes uniformly repeated at intervals, as at funerals, or in calling assemblies, or to announce the death of a person."""
"astronomer","An astrologer."
"tollage","Payment of toll; also, the amount or quantity paid as toll."""
"sublapsarianism","Infralapsarianism."
"spiderwort","An American endogenous plant (Tradescantia Virginica), with long linear leaves and ephemeral blue flowers. The name is sometimes extended to other species of the same genus."""
"sensibleness","Intelligence; reasonableness; good sense."
"by-end","Private end or interest; secret purpose; selfish advantage."
"survenue","A sudden or unexpected coming or stepping on."
"succoteague","The squeteague."
"chinsing","of Chinse"
"impenetrability","Insusceptibility of intellectual or emotional impression; obtuseness; stupidity; coldness."
"curios","of Curio"
"anthophagous","Eating flowers; -- said of certain insects."
"mazard","A kind of small black cherry."
"weaned","of Wean"
"opinator","One fond of his own opinious; one who holds an opinion."
"mass","To form or collect into a mass; to form into a collective body; to bring together into masses; to assemble."
"gift","A bribe; anything given to corrupt."
"lindiform","Resembling the genus Lindia; -- said of certain apodous insect larvae."
"entrance","The entering upon; the beginning, or that with which the beginning is made; the commencement; initiation; as, a difficult entrance into business."""
"aristocracy","A form a government, in which the supreme power is vested in the principal persons of a state, or in a privileged order; an oligarchy."""
"direct","To point out to with authority; to instruct as a superior; to order; as, he directed them to go."""
"semester","A period of six months; especially, a term in a college or uneversity which divides the year into two terms."""
"recommending","of Recommend"
"triangular","Oblong or elongated, and having three lateral angles; as, a triangular seed, leaf, or stem."""
"hard","Difficult to bear or endure; not easy to put up with or consent to; hence, severe; rigorous; oppressive; distressing; unjust; grasping; as, a hard lot; hard times; hard fare; a hard winter; hard conditions or terms."""
"southward","The southern regions or countries; the south."
"sooshong","See Souchong."
"omission","The act of omitting; neglect or failure to do something required by propriety or duty."
"slaveholder","One who holds slaves."
"gilden","Gilded."
"scrutiny","A ticket, or little paper billet, on which a vote is written."""
"forbearing","of Forbear"
"fontanel","An issue or artificial ulcer for the discharge of humors from the body."
"perjure","A perjured person."
"jesuit","Fig.: A crafty person; an intriguer."
"pall","Nausea."
"sociate","To associate."
"catechistical","Of or pertaining to a catechist or to a catechism."
"coronate","Alt. of Coronated"
"premised","of Premise"
"coruscate","To glitter in flashes; to flash."
"person","To represent as a person; to personify; to impersonate."
"model","To make a copy or a pattern; to design or imitate forms; as, to model in wax."""
"cortex","Bark; rind; specifically, cinchona bark."""
"simmer","To cause to boil gently; to cook in liquid heated almost or just to the boiling point."
"grecian","One well versed in the Greek language, literature, or history."""
"idiocratic","Alt. of Idiocratical"
"panslavism","A scheme or desire to unite all the Slavic races into one confederacy."
"tyranness","A female tyrant."
"pout","To thrust out the lips, as in sullenness or displeasure; hence, to look sullen."""
"ruin","The state of being dcayed, or of having become ruined or worthless; as, to be in ruins; to go to ruin."""
"resultance","The act of resulting; that which results; a result."
"flourish","A flourishing condition; prosperity; vigor."
"triangle","An instrument of percussion, usually made of a rod of steel, bent into the form of a triangle, open at one angle, and sounded by being struck with a small metallic rod."""
"perused","of Peruse"
"sauce","To make poignant; to give zest, flavor or interest to; to set off; to vary and render attractive."""
"purposive","Having or indicating purpose or design."
"piccadil","Alt. of Piccadilly"
"sun","Any heavenly body which forms the center of a system of orbs."
"denizenation","Denization; denizening."
"titled","Having or bearing a title."
"quilt","To wad, as a garment, with warm soft material."""
"backset","Whatever is thrown back in its course, as water."""
"decennoval","Alt. of Decennovary"
"allegiance","Devotion; loyalty; as, allegiance to science."""
"drift","To float or be driven along by, or as by, a current of water or air; as, the ship drifted astern; a raft drifted ashore; the balloon drifts slowly east."""
"wantless","Having no want; abundant; fruitful."
"thrid","Thread; continuous line."
"partaken","of Partake"
"wheal","Specifically (Med.), a flat, burning or itching eminence on the skin, such as is produced by a mosquito bite, or in urticaria."""
"chaise","a carriage in general."
"tertian","Occurring every third day; as, a tertian fever."""
"major","Of greater dignity; more important."
"irreproachableness","The quality or state of being irreproachable; integrity; innocence."
"farced","of Farce"
"tetraphyllous","Having four leaves; consisting of four distinct leaves or leaflets."
"floorage","Floor space."
"answerably","In an answerable manner; in due proportion or correspondence; suitably."
"assent","To admit a thing as true; to express one's agreement, acquiescence, concurrence, or concession."""
"heighten","To make high; to raise higher; to elevate."
"truckman","One who drives a truck, or whose business is the conveyance of goods on trucks."""
"inamoratos","of Inamorato"
"coolly","In a cool manner; without heat or excessive cold; without passion or ardor; calmly; deliberately; with indifference; impudently."
"questionably","In a questionable manner."
"measured","Regulated or determined by a standard; hence, equal; uniform; graduated; limited; moderated; as, he walked with measured steps; he expressed himself in no measured terms."""
"brambly","Pertaining to, resembling, or full of, brambles."""
"argillite","Argillaceous schist or slate; clay slate. Its colors is bluish or blackish gray, sometimes greenish gray, brownish red, etc."""
"vinatico","Madeira mahogany; the coarse, dark-colored wood of the Persea Indica."""
"differenced","of Difference"
"neonomianism","The doctrines or belief of the neonomians."
"several","Diverse; different; various."
"drop","To fall in drops."
"mute","Not giving a ringing sound when struck; -- said of a metal."
"bait","To furnish or cover with bait, as a trap or hook."""
"tenuous","Lacking substance, as a tenuous argument."""
"consanguinity","The relation of persons by blood, in distinction from affinity or relation by marriage; blood relationship; as, lineal consanguinity; collateral consanguinity."""
"dopper","An Anabaptist or Baptist."
"zincking","of Zinc"
"plumed","of Plume"
"croat","A native of Croatia, in Austria; esp., one of the native Slavic race."""
"crown","To cause to round upward; to make anything higher at the middle than at the edges, as the face of a machine pulley."""
"dented","Indented; impressed with little hollows."
"wye","A kind of crotch. See Y, n. (a)."""
"element","One out of several parts combined in a system of aggregation, when each is of the nature of the whole; as, a single cell is an element of the honeycomb."""
"mortgager","gives a mortgage."
"metapophysis","A tubercle projecting from the anterior articular processes of some vertebr/; a mammillary process."
"pelfish","Of or pertaining to pelf."
"thematic","Of or pertaining to a theme, or subject."""
"sack","To put in a sack; to bag; as, to sack corn."""
"guardianship","The office, duty, or care, of a guardian; protection; care; watch."""
"southeast","Of or pertaining to the southeast; proceeding toward, or coming from, the southeast; as, a southeast course; a southeast wind."""
"preappointment","Previous appointment."
"jamdani","A silk fabric, with a woven pattern of sprigs of flowers."""
"pilau","See Pillau."
"sweat","The act of sweating; or the state of one who sweats; hence, labor; toil; drudgery."""
"walleteer","One who carries a wallet; a foot traveler; a tramping beggar."
"carrel","Same as 4th Carol."
"inveighed","of Inveigh"
"short-circuiting","of Short-circuit"
"homotypal","Of the same type of structure; pertaining to a homotype; as, homotypal parts."""
"grotesqueness","Quality of being grotesque."
"chogset","See Cunner."
"rerebrace","Armor for the upper part of the arm."
"ephori","of Ephor"
"zamindary","Alt. of Zamindari"
"relation","A person connected by cosanguinity or affinity; a relative; a kinsman or kinswoman."
"disastrous","Attended with suffering or disaster; very unfortunate; calamitous; ill-fated; as, a disastrous day; a disastrous termination of an undertaking."""
"product","The number or sum obtained by adding one number or quantity to itself as many times as there are units in another number; the number resulting from the multiplication of two or more numbers; as, the product of the multiplication of 7 by 5 is 35. In general, the result of any kind of multiplication. See the Note under Multiplication."""
"dementia","Insanity; madness; esp. that form which consists in weakness or total loss of thought and reason; mental imbecility; idiocy."
"madecass","Alt. of Madecassee"
"sparer","One who spares."
"chapter","A decretal epistle."
"reveal","To make known (that which has been concealed or kept secret); to unveil; to disclose; to show."
"wadset","A kind of pledge or mortgage."
"invasion","The act of invading; the act of encroaching upon the rights or possessions of another; encroachment; trespass."
"husband","To furnish with a husband."
"proparoxytone","A word which has the acute accent on the antepenult."
"ursus","A genus of Carnivora including the common bears."
"knave","A tricky, deceitful fellow; a dishonest person; a rogue; a villain."""
"flacker","To flutter, as a bird."""
"judgment","The act of judging; the operation of the mind, involving comparison and discrimination, by which a knowledge of the values and relations of thins, whether of moral qualities, intellectual concepts, logical propositions, or material facts, is obtained; as, by careful judgment he avoided the peril; by a series of wrong judgments he forfeited confidence."""
"ptenoglossate","Of or pertaining to the Ptenoglossa."
"fivefold","In fives; consisting of five in one; five repeated; quintuple."
"dermatogen","Nascent epidermis, or external cuticle of plants in a forming condition."""
"leveret","A hare in the first year of its age."
"headmen","of Headman"
"cleptomania","See Kleptomania."
"heptarch","Same as Heptarchist."
"abatised","Provided with an abatis."
"proof","The quality or state of having been proved or tried; firmness or hardness that resists impression, or does not yield to force; impenetrability of physical bodies."""
"pettifog","To advocate like a pettifogger; to argue trickily; as, to pettifog a claim."""
"effeminacies","of Effeminacy"
"nutrition","In the broadest sense, a process or series of processes by which the living organism as a whole (or its component parts or organs) is maintained in its normal condition of life and growth."""
"screeched","of Screech"
"nome","See Term."
"childship","The state or relation of being a child."
"remote","Hence, removed; not agreeing, according, or being related; -- in various figurative uses."""
"sporadic","Occuring singly, or apart from other things of the same kind, or in scattered instances; separate; single; as, a sporadic fireball; a sporadic case of disease; a sporadic example of a flower."""
"stroking","See Stripping, 2."""
"circulation","The movement of the blood in the blood-vascular system, by which it is brought into close relations with almost every living elementary constituent. Also, the movement of the sap in the vessels and tissues of plants."""
"brittlely","In a brittle manner."
"anaglyptograph","An instrument by which a correct engraving of any embossed object, such as a medal or cameo, can be executed."""
"restrictionary","Restrictive."
"rotten","Having rotted; putrid; decayed; as, a rotten apple; rotten meat."""
"cancriform","Having the form of, or resembling, a crab; crab-shaped."""
"pentad","Any element, atom, or radical, having a valence of five, or which can be combined with, substituted for, or compared with, five atoms of hydrogen or other monad; as, nitrogen is a pentad in the ammonium compounds."""
"curule","Of or pertaining to a chariot."
"slating","The act of covering with slate, slates, or a substance resembling slate; the work of a slater."""
"hirsute","Pubescent with coarse or stiff hairs."
"prestimony","A fund for the support of a priest, without the title of a benefice. The patron in the collator."""
"boltonite","A granular mineral of a grayish or yellowish color, found in Bolton, Massachusetts. It is a silicate of magnesium, belonging to the chrysolite family."""
"subventitious","Helping; aiding; supporting."
"halser","See Hawser."
"tartar","A reddish crust or sediment in wine casks, consisting essentially of crude cream of tartar, and used in marking pure cream of tartar, tartaric acid, potassium carbonate, black flux, etc., and, in dyeing, as a mordant for woolen goods; -- called also argol, wine stone, etc."""
"rurality","The quality or state of being rural."
"branch","One of the portions of a curve that extends outwards to an indefinitely great distance; as, the branches of an hyperbola."""
"alcohol","A class of compounds analogous to vinic alcohol in constitution. Chemically speaking, they are hydroxides of certain organic radicals; as, the radical ethyl forms common or ethyl alcohol (C2H5.OH); methyl forms methyl alcohol (CH3.OH) or wood spirit; amyl forms amyl alcohol (C5H11.OH) or fusel oil, etc."""
"immelodious","Not melodious."
"backpiece","Alt. of Backplate"
"bashaw","A very large siluroid fish (Leptops olivaris) of the Mississippi valley; -- also called goujon, mud cat, and yellow cat."""
"tempest","To storm."
"marten","The fur of the marten, used for hats, muffs, etc."""
"improficiency","Want of proficiency."
"dugout","A canoe or boat dug out from a large log."
"monteith","A vessel in which glasses are washed; -- so called from the name of the inventor."
"mongoloid","Resembling a Mongol or the Mongols; having race characteristics, such as color, hair, and features, like those of the Mongols."""
"astride","With one leg on each side, as a man when on horseback; with the legs stretched wide apart; astraddle."""
"noble","A European fish; the lyrie."
"practice","To perform certain acts frequently or customarily, either for instruction, profit, or amusement; as, to practice with the broadsword or with the rifle; to practice on the piano."""
"swerved","of Swerve"
"disputatious","Inclined to dispute; apt to civil or controvert; characterized by dispute; as, a disputatious person or temper."""
"sparkle","A little spark; a scintillation."
"myrtaceous","Of, pertaining to, or resembling, a large and important natural order of trees and shrubs (Myrtaceae), of which the myrtle is the type. It includes the genera Eucalyptus, Pimenta, Lechythis, and about seventy more."""
"froggy","Abounding in frogs."
"obloquy","Censorious speech; defamatory language; language that casts contempt on men or their actions; blame; reprehension."
"elope","To run away, or escape privately, from the place or station to which one is bound by duty; -- said especially of a woman or a man, either married or unmarried, who runs away with a paramour or a sweetheart."""
"phagedenical","A phagedenic medicine."
"backarack","A kind of wine made at Bacharach on the Rhine."
"insinuation","The art or power of gaining good will by a prepossessing manner."
"lief","A dear one; a sweetheart."
"weatherliness","The quality of being weatherly."
"monogamous","Upholding, or practicing, monogamy."""
"traded","of Trade"
"deprehensible","That may be caught or discovered; apprehensible."
"bias","A leaning of the mind; propensity or prepossession toward an object or view, not leaving the mind indifferent; bent; inclination."""
"sire","To beget; to procreate; -- used of beasts, and especially of stallions."""
"ore","Honor; grace; favor; mercy; clemency; happy augry."
"handsel","A sale, gift, or delivery into the hand of another; especially, a sale, gift, delivery, or using which is the first of a series, and regarded as on omen for the rest; a first installment; an earnest; as the first money received for the sale of goods in the morning, the first money taken at a shop newly opened, the first present sent to a young woman on her wedding day, etc."""
"nettles","Reef points."
"acerate","Acerose; needle-shaped."
"sway","Rule; dominion; control."
"deal","Distribution; apportionment."
"side","The right or left part of the wall or trunk of the body; as, a pain in the side."""
"gothicized","of Gothicize"
"invade","To grow or spread over; to affect injuriously and progressively; as, gangrene invades healthy tissue."""
"reprove","To convince."
"splenalgia","Pain over the region of the spleen."
"enfester","To fester."
"relater","One who relates or narrates."
"impulsive","Having the power of driving or impelling; giving an impulse; moving; impellent."
"businesses","of Business"
"osteoplast","An osteoblast."
"pomel","A pommel."
"marbleizing","of Marbleize"
"milling","The act or employment of grinding or passing through a mill; the process of fulling; the process of making a raised or intented edge upon coin, etc.; the process of dressing surfaces of various shapes with rotary cutters. See Mill."""
"securement","The act of securing; protection."
"orb","To become round like an orb."
"lubricous","Lubric."
"pargeted","of Parget"
"round","To bring to fullness or completeness; to complete; hence, to bring to a fit conclusion."""
"corrugation","The act corrugating; contraction into wrinkles or alternate ridges and grooves."
"squalodont","Pertaining to Squalodon."
"focus","A point in which the rays of light meet, after being reflected or refrcted, and at which the image is formed; as, the focus of a lens or mirror."""
"bolognian","Bolognese."
"record","To recall to mind; to recollect; to remember; to meditate."
"trail","That part of the stock of a gun carriage which rests on the ground when the piece is unlimbered. See Illust. of Gun carriage, under Gun."""
"feminity","Womanliness; femininity."
"pac","A kind of moccasin, having the edges of the sole turned up and sewed to the upper."""
"emigrated","of Emigrate"
"-gies","of Lethargy"
"heliconian","Like or pertaining to the butterflies of the genus Heliconius."
"libertinism","The state of a libertine or freedman."
"bedpiece","Alt. of Bedplate"
"inexorability","The quality of being inexorable, or unyielding to entreaty."""
"mycomelic","Pertaining to, or designating, a complex nitrogenous acid of the alloxan group, obtained as a honey-yellow powder. Its solutions have a gelatinous consistency."""
"woolly","Clothed with a fine, curly pubescence resembling wool."""
"dorian","Same as Doric, 3."""
"rory","Dewy."
"flat","A car without a roof, the body of which is a platform without sides; a platform car."""
"corporal","A noncommissioned officer, next below a sergeant. In the United States army he is the lowest noncommissioned officer in a company of infantry. He places and relieves sentinels."""
"nip","Hence: To blast, as by frost; to check the growth or vigor of; to destroy."""
"hotchpot","Alt. of Hotchpotch"
"corkiness","The quality of being corky."
"maxilla","The bone, or principal bone, of the upper jaw, the bone of the lower jaw being the mandible."""
"periodontal","Surrounding the teeth."
"characterize","To make distinct and recognizable by peculiar marks or traits; to make with distinctive features."
"driving","of Drive"
"plot","A plan or draught of a field, farm, estate, etc., drawn to a scale."""
"huzza","To shout huzza; to cheer."
"oraculous","Oracular; of the nature of an oracle."
"foible","The half of a sword blade or foil blade nearest the point; -- opposed to forte."
"siraskier","See Seraskier."
"collectional","Of or pertaining to collecting."
"vaginismus","A painful spasmodic contraction of the vagina, often rendering copulation impossible."""
"croise","A pilgrim bearing or wearing a cross."
"reclaimed","of Reclaim"
"quarrel","One who quarrels or wrangles; one who is quarrelsome."
"pyrotartrate","A salt of pyrotartaric acid."
"hooker","A fishing boat with one mast, used on the coast of Ireland."""
"anglican","A member of the Church of England."
